Team
Liverpool
Man City
Chelsea
Leicester
Man Utd
Spurs
Sheffield Utd
Everton
Wolves
Newcastle
Arsenal
Crystal Palace
Burnley
Watford
West Ham
Chelsea
Brighton
Man City
Man Utd
Man Utd
Norwich
Liverpool
Southampton
Bournemouth
Aston Villa
Norwich
West Ham
Sheffield Utd
Liverpool
Aston Villa
Aston Villa
Newcastle
Sheffield Utd
Aston Villa
Sheffield Utd
Burnley
Watford
Bournemouth
Bournemouth
Bournemouth
Burnley
Crystal Palace
Leicester
Leicester
Southampton
Southampton
Spurs
Watford
Wolves
Arsenal
Aston Villa
Everton
Liverpool
Spurs
Norwich
Liverpool
Spurs
Southampton
Norwich
Crystal Palace
Spurs
Man City
Newcastle
West Ham
West Ham
Everton
Brighton
Everton
Newcastle
Wolves
West Ham
Liverpool
Liverpool
Liverpool
Leicester
Man City
Wolves
Chelsea
Chelsea
Chelsea
Arsenal
Everton
Crystal Palace
Man City
Arsenal
Leicester
Man City
Spurs
Chelsea
Man Utd
Man Utd
Wolves
Man Utd
Everton
Everton
Man Utd
Leicester
Liverpool
Liverpool
Everton
Man City
Man Utd
Newcastle
Spurs
Spurs
Newcastle
Spurs
Arsenal
Arsenal
Burnley
Everton
Liverpool
Man City
Man Utd
Sheffield Utd
Spurs
Arsenal
Sheffield Utd
Wolves
Chelsea
Man City
Arsenal
Arsenal
Bournemouth
Burnley
Crystal Palace
Crystal Palace
Man City
Newcastle
Everton
Everton
Leicester
Man City
Man Utd
Man Utd
Man Utd
Sheffield Utd
Spurs
Arsenal
Brighton
Bournemouth
Chelsea
Man Utd
Southampton
Spurs
Leicester
Wolves
Watford
Arsenal
Arsenal
Brighton
Man Utd
Sheffield Utd
Leicester
Chelsea
Newcastle
Sheffield Utd
Southampton
Watford
Wolves
Sheffield Utd
Man City
Wolves
Arsenal
Arsenal
Southampton
West Ham
West Ham
Brighton
Brighton
Man City
Sheffield Utd
Arsenal
Aston Villa
Bournemouth
Bournemouth
Newcastle
Newcastle
Norwich
Norwich
Norwich
Southampton
Southampton
Aston Villa
Southampton
West Ham
Aston Villa
Aston Villa
Man Utd
Crystal Palace
Arsenal
Brighton
Brighton
Brighton
Brighton
Bournemouth
Bournemouth
